,phase,8949170_q,8949170_w,-164126513_q,-164126513_w,52016249_q,52016249_w,-164126511_q,-164126511_w,stateNum
457,0,0,0,1,2,1,2,2,1,457
458,0,0,0,1,2,1,2,2,2,458
459,0,0,0,1,2,2,0,0,0,459
460,0,0,0,1,2,2,0,0,1,460
461,0,0,0,1,2,2,0,0,2,461
462,0,0,0,1,2,2,0,1,0,462
463,0,0,0,1,2,2,0,1,1,463
464,0,0,0,1,2,2,0,1,2,464
465,0,0,0,1,2,2,0,2,0,465
466,0,0,0,1,2,2,0,2,1,466
467,0,0,0,1,2,2,0,2,2,467
468,0,0,0,1,2,2,1,0,0,468
469,0,0,0,1,2,2,1,0,1,469
470,0,0,0,1,2,2,1,0,2,470
471,0,0,0,1,2,2,1,1,0,471
472,0,0,0,1,2,2,1,1,1,472
473,0,0,0,1,2,2,1,1,2,473
474,0,0,0,1,2,2,1,2,0,474
475,0,0,0,1,2,2,1,2,1,475
476,0,0,0,1,2,2,1,2,2,476
477,0,0,0,1,2,2,2,0,0,477
478,0,0,0,1,2,2,2,0,1,478
479,0,0,0,1,2,2,2,0,2,479
480,0,0,0,1,2,2,2,1,0,480
481,0,0,0,1,2,2,2,1,1,481
482,0,0,0,1,2,2,2,1,2,482
483,0,0,0,1,2,2,2,2,0,483
484,0,0,0,1,2,2,2,2,1,484
485,0,0,0,1,2,2,2,2,2,485
486,0,0,0,2,0,0,0,0,0,486
487,0,0,0,2,0,0,0,0,1,487
488,0,0,0,2,0,0,0,0,2,488
489,0,0,0,2,0,0,0,1,0,489
490,0,0,0,2,0,0,0,1,1,490
491,0,0,0,2,0,0,0,1,2,491
492,0,0,0,2,0,0,0,2,0,492
493,0,0,0,2,0,0,0,2,1,493
494,0,0,0,2,0,0,0,2,2,494
495,0,0,0,2,0,0,1,0,0,495
496,0,0,0,2,0,0,1,0,1,496
497,0,0,0,2,0,0,1,0,2,497
498,0,0,0,2,0,0,1,1,0,498
499,0,0,0,2,0,0,1,1,1,499
500,0,0,0,2,0,0,1,1,2,500
501,0,0,0,2,0,0,1,2,0,501
502,0,0,0,2,0,0,1,2,1,502
503,0,0,0,2,0,0,1,2,2,503
504,0,0,0,2,0,0,2,0,0,504
505,0,0,0,2,0,0,2,0,1,505
506,0,0,0,2,0,0,2,0,2,506
507,0,0,0,2,0,0,2,1,0,507
508,0,0,0,2,0,0,2,1,1,508
509,0,0,0,2,0,0,2,1,2,509
510,0,0,0,2,0,0,2,2,0,510
511,0,0,0,2,0,0,2,2,1,511
512,0,0,0,2,0,0,2,2,2,512
513,0,0,0,2,0,1,0,0,0,513
514,0,0,0,2,0,1,0,0,1,514
515,0,0,0,2,0,1,0,0,2,515
516,0,0,0,2,0,1,0,1,0,516
517,0,0,0,2,0,1,0,1,1,517
518,0,0,0,2,0,1,0,1,2,518
519,0,0,0,2,0,1,0,2,0,519
520,0,0,0,2,0,1,0,2,1,520
521,0,0,0,2,0,1,0,2,2,521
522,0,0,0,2,0,1,1,0,0,522
523,0,0,0,2,0,1,1,0,1,523
524,0,0,0,2,0,1,1,0,2,524
525,0,0,0,2,0,1,1,1,0,525
526,0,0,0,2,0,1,1,1,1,526
527,0,0,0,2,0,1,1,1,2,527
528,0,0,0,2,0,1,1,2,0,528
529,0,0,0,2,0,1,1,2,1,529
530,0,0,0,2,0,1,1,2,2,530
531,0,0,0,2,0,1,2,0,0,531
532,0,0,0,2,0,1,2,0,1,532
533,0,0,0,2,0,1,2,0,2,533
534,0,0,0,2,0,1,2,1,0,534
535,0,0,0,2,0,1,2,1,1,535
536,0,0,0,2,0,1,2,1,2,536
537,0,0,0,2,0,1,2,2,0,537
538,0,0,0,2,0,1,2,2,1,538
539,0,0,0,2,0,1,2,2,2,539
540,0,0,0,2,0,2,0,0,0,540
541,0,0,0,2,0,2,0,0,1,541
542,0,0,0,2,0,2,0,0,2,542
543,0,0,0,2,0,2,0,1,0,543
544,0,0,0,2,0,2,0,1,1,544
545,0,0,0,2,0,2,0,1,2,545
546,0,0,0,2,0,2,0,2,0,546
547,0,0,0,2,0,2,0,2,1,547
548,0,0,0,2,0,2,0,2,2,548
549,0,0,0,2,0,2,1,0,0,549
550,0,0,0,2,0,2,1,0,1,550
551,0,0,0,2,0,2,1,0,2,551
552,0,0,0,2,0,2,1,1,0,552
553,0,0,0,2,0,2,1,1,1,553
554,0,0,0,2,0,2,1,1,2,554
555,0,0,0,2,0,2,1,2,0,555
556,0,0,0,2,0,2,1,2,1,556
557,0,0,0,2,0,2,1,2,2,557
558,0,0,0,2,0,2,2,0,0,558
559,0,0,0,2,0,2,2,0,1,559
560,0,0,0,2,0,2,2,0,2,560
561,0,0,0,2,0,2,2,1,0,561
562,0,0,0,2,0,2,2,1,1,562
563,0,0,0,2,0,2,2,1,2,563
564,0,0,0,2,0,2,2,2,0,564
565,0,0,0,2,0,2,2,2,1,565
566,0,0,0,2,0,2,2,2,2,566
567,0,0,0,2,1,0,0,0,0,567
568,0,0,0,2,1,0,0,0,1,568
569,0,0,0,2,1,0,0,0,2,569
570,0,0,0,2,1,0,0,1,0,570
571,0,0,0,2,1,0,0,1,1,571
572,0,0,0,2,1,0,0,1,2,572
573,0,0,0,2,1,0,0,2,0,573
574,0,0,0,2,1,0,0,2,1,574
575,0,0,0,2,1,0,0,2,2,575
576,0,0,0,2,1,0,1,0,0,576
577,0,0,0,2,1,0,1,0,1,577
578,0,0,0,2,1,0,1,0,2,578
579,0,0,0,2,1,0,1,1,0,579
580,0,0,0,2,1,0,1,1,1,580
581,0,0,0,2,1,0,1,1,2,581
582,0,0,0,2,1,0,1,2,0,582
583,0,0,0,2,1,0,1,2,1,583
584,0,0,0,2,1,0,1,2,2,584
585,0,0,0,2,1,0,2,0,0,585
586,0,0,0,2,1,0,2,0,1,586
587,0,0,0,2,1,0,2,0,2,587
588,0,0,0,2,1,0,2,1,0,588
589,0,0,0,2,1,0,2,1,1,589
590,0,0,0,2,1,0,2,1,2,590
591,0,0,0,2,1,0,2,2,0,591
592,0,0,0,2,1,0,2,2,1,592
593,0,0,0,2,1,0,2,2,2,593
594,0,0,0,2,1,1,0,0,0,594
595,0,0,0,2,1,1,0,0,1,595
596,0,0,0,2,1,1,0,0,2,596
597,0,0,0,2,1,1,0,1,0,597
598,0,0,0,2,1,1,0,1,1,598
599,0,0,0,2,1,1,0,1,2,599
600,0,0,0,2,1,1,0,2,0,600
601,0,0,0,2,1,1,0,2,1,601
602,0,0,0,2,1,1,0,2,2,602
603,0,0,0,2,1,1,1,0,0,603
604,0,0,0,2,1,1,1,0,1,604
605,0,0,0,2,1,1,1,0,2,605
606,0,0,0,2,1,1,1,1,0,606
607,0,0,0,2,1,1,1,1,1,607
608,0,0,0,2,1,1,1,1,2,608
609,0,0,0,2,1,1,1,2,0,609
610,0,0,0,2,1,1,1,2,1,610
611,0,0,0,2,1,1,1,2,2,611
612,0,0,0,2,1,1,2,0,0,612
613,0,0,0,2,1,1,2,0,1,613
614,0,0,0,2,1,1,2,0,2,614
615,0,0,0,2,1,1,2,1,0,615
616,0,0,0,2,1,1,2,1,1,616
617,0,0,0,2,1,1,2,1,2,617
618,0,0,0,2,1,1,2,2,0,618
619,0,0,0,2,1,1,2,2,1,619
620,0,0,0,2,1,1,2,2,2,620
621,0,0,0,2,1,2,0,0,0,621
